Location,Number of Cows,Farm Size,Product Name,Brand,Price per Unit,Quantity (liters/kg),Total Value,Shelf Life (days),Storage Condition,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Kerala,87,Small,Lassi,Sudha,18.99,101.56,1928.6244,14,Refrigerated,26,21.19,550.94,Tamil Nadu,Retail,75,52.26,113.92
Chandigarh,57,Large,Paneer,Amul,80.1,770.27,61698.627,7,Refrigerated,557,81.76,45540.32,Madhya Pradesh,Retail,213,83.63,79.83
Delhi,41,Large,Butter,Amul,92.69,985.95,91387.7055,28,Refrigerated,56,96.86,5424.16,Rajasthan,Retail,929,37.94,187.73
Bihar,100,Medium,Paneer,Mother Dairy,44.3,595.79,26393.497,12,Refrigerated,137,46.82,6414.34,Madhya Pradesh,Wholesale,458,91.23,73.05
Tamil Nadu,97,Medium,Ghee,Amul,43.88,581.5,25516.22,136,Ambient,86,41.49,3568.14,Delhi,Wholesale,495,54.72,156.21
Karnataka,65,Small,Yogurt,Dodla Dairy,97.87,332.87,32577.9869,22,Frozen,95,101.56,9648.2,Karnataka,Retail,237,75.91,59.2
Bihar,25,Large,Milk,Raj,61.24,652.4,39952.976,1,Polythene Packet,389,65.53,25491.17,Telangana,Retail,263,45.01,121.01
Chandigarh,81,Small,Ghee,Amul,27.23,486.43,13245.4889,129,Ambient,384,25.51,9795.84,Kerala,Online,102,99.86,189.33
Maharashtra,52,Large,Lassi,Sudha,49.39,524.71,25915.4269,17,Refrigerated,167,45.86,7658.62,Gujarat,Retail,357,33.58,118.33
Karnataka,77,Large,Lassi,Sudha,36.87,675.65,24911.2155,12,Refrigerated,671,32.92,22089.32,Rajasthan,Wholesale,4,10.25,55.87
Jharkhand,79,Medium,Curd,Amul,27.31,267.21,7297.5051,6,Refrigerated,116,22.62,2623.92,Kerala,Wholesale,151,53.34,42.38
Chandigarh,42,Medium,Buttermilk,Mother Dairy,34.8,801.25,27883.5,14,Refrigerated,292,38.9,11358.8,Telangana,Wholesale,509,46.12,32.45
Delhi,42,Large,Lassi,Raj,91.62,112.8,10334.736,13,Refrigerated,104,93.93,9768.72,Bihar,Retail,8,92.48,104.82
Tamil Nadu,88,Medium,Lassi,Sudha,92.04,797.52,73403.7408,13,Refrigerated,715,89.08,63692.2,Haryana,Wholesale,82,17.51,21.64
Chandigarh,36,Large,Ice Cream,Amul,52.35,675.77,35376.5595,24,Frozen,6,54.41,326.46,Gujarat,Wholesale,669,15.3,106.03
Rajasthan,98,Medium,Milk,Sudha,46.37,865.01,40110.5137,2,Polythene Packet,302,42.34,12786.68,Delhi,Retail,563,70.1,170.61
Chandigarh,67,Medium,Butter,Amul,90.79,8.47,768.9913,38,Refrigerated,3,87.28,261.84,Delhi,Retail,5,54.58,128.52
Madhya Pradesh,21,Small,Paneer,Amul,23.83,381.78,9097.8174,10,Refrigerated,82,20.25,1660.5,Delhi,Wholesale,299,39.14,188.98
Madhya Pradesh,12,Medium,Milk,Raj,25.48,834.13,21253.6324,1,Polythene Packet,406,27.22,11051.32,Telangana,Online,428,58.16,128.69
Haryana,37,Medium,Lassi,Amul,78.56,681.45,53534.712,16,Refrigerated,552,74.45,41096.4,Haryana,Retail,129,64.85,86.46
Chandigarh,82,Large,Paneer,Raj,55.77,988.64,55136.4528,9,Refrigerated,262,52.57,13773.34,Telangana,Retail,726,78.44,138.43
Jharkhand,65,Medium,Buttermilk,Mother Dairy,41.31,410.48,16956.9288,11,Refrigerated,141,43.02,6065.82,Delhi,Online,269,62.67,83.4
Rajasthan,53,Large,Ice Cream,Dodla Dairy,58.25,351.11,20452.1575,29,Frozen,305,62.31,19004.55,Rajasthan,Online,46,51.48,147.89
Rajasthan,79,Large,Buttermilk,Mother Dairy,62.03,83.31,5167.7193,13,Refrigerated,62,65.24,4044.88,West Bengal,Retail,21,21.47,112.76
Delhi,32,Medium,Butter,Amul,89.8,30.69,2755.962,29,Frozen,22,92.23,2029.06,Uttar Pradesh,Retail,8,27.1,22.11
Kerala,76,Small,Paneer,Sudha,82.89,9.78,810.6642,14,Refrigerated,2,85.42,170.84,Madhya Pradesh,Wholesale,7,50.62,197.39
Maharashtra,12,Small,Cheese,Passion Cheese,48.71,953.21,46430.8591,42,Refrigerated,705,45.04,31753.2,Chandigarh,Retail,248,11.47,68.17
Telangana,98,Small,Lassi,Amul,98.37,707.2,69567.264,12,Refrigerated,145,101.64,14737.8,Kerala,Retail,562,65.74,122.35
Maharashtra,48,Medium,Curd,Raj,56.07,839.1,47048.337,6,Refrigerated,11,58.17,639.87,Gujarat,Online,828,25.18,144.48
Delhi,19,Medium,Ghee,Mother Dairy,68.66,960.28,65932.8248,137,Ambient,956,69.79,66719.24,Tamil Nadu,Wholesale,4,38.11,199.68
Telangana,19,Large,Yogurt,Palle2patnam,82.43,65.8,5423.894,30,Frozen,26,84.9,2207.4,Maharashtra,Online,39,67.7,95.52
Rajasthan,20,Large,Ghee,Sudha,92.97,685.84,63762.5448,143,Ambient,634,95.09,60287.06,Chandigarh,Retail,51,78.67,99.91
Delhi,31,Small,Yogurt,Dodla Dairy,20.21,754.25,15243.3925,28,Frozen,290,21.16,6136.4,Rajasthan,Online,464,75.4,82.78
Chandigarh,74,Small,Ice Cream,Palle2patnam,86.58,750.7,64995.606,26,Frozen,696,83.73,58276.08,Delhi,Wholesale,54,31.69,187.36
Chandigarh,90,Large,Ghee,Amul,61.21,838.85,51346.0085,147,Ambient,392,61.22,23998.24,Jharkhand,Wholesale,446,34.63,46
Delhi,94,Small,Butter,Mother Dairy,45.01,791.17,35610.5617,37,Frozen,534,48.01,25637.34,Chandigarh,Wholesale,257,80.22,59.28
Uttar Pradesh,100,Medium,Milk,Mother Dairy,95.03,62.79,5966.9337,21,Tetra Pack,16,93.22,1491.52,Bihar,Wholesale,46,10.47,152.91
Gujarat,58,Large,Yogurt,Amul,45.36,931.71,42262.3656,26,Refrigerated,834,40.97,34168.98,Gujarat,Wholesale,97,47.75,30.21
Uttar Pradesh,77,Large,Lassi,Raj,22.2,398.09,8837.598,14,Refrigerated,304,23.26,7071.04,Uttar Pradesh,Online,94,89.77,81.83
Rajasthan,22,Medium,Yogurt,Mother Dairy,27.07,548.97,14860.6179,25,Refrigerated,386,25.29,9761.94,Telangana,Online,162,28.6,140.82
Maharashtra,79,Medium,Yogurt,Amul,68.17,357.6,24377.592,27,Frozen,9,65.87,592.83,Chandigarh,Wholesale,348,82.26,113.24
Chandigarh,19,Medium,Ghee,Raj,44.64,455.19,20319.6816,144,Ambient,420,48.13,20214.6,Madhya Pradesh,Online,35,40.44,148.64
Jharkhand,40,Large,Milk,Raj,81.7,156.97,12824.449,1,Polythene Packet,103,80.26,8266.78,Chandigarh,Retail,53,38.15,44.82
Bihar,38,Large,Curd,Sudha,44.7,120.72,5396.184,5,Refrigerated,78,48.75,3802.5,Bihar,Online,42,25.08,69.37
Karnataka,23,Small,Buttermilk,Sudha,53.76,23.96,1288.0896,11,Refrigerated,23,56.57,1301.11,Madhya Pradesh,Online,0,41.42,186.26
Delhi,35,Large,Milk,Sudha,38.88,373.21,14510.4048,1,Polythene Packet,166,36.18,6005.88,Rajasthan,Retail,207,26.68,44.52
Chandigarh,38,Small,Curd,Mother Dairy,64.01,551.14,35278.4714,5,Refrigerated,203,65.1,13215.3,Telangana,Wholesale,348,89.68,119.95
Maharashtra,28,Medium,Yogurt,Mother Dairy,35.46,595.93,21131.6778,27,Frozen,54,34.78,1878.12,Madhya Pradesh,Online,541,74.07,155.47
Haryana,32,Medium,Milk,Amul,50.94,928.93,47319.6942,22,Tetra Pack,869,54.74,47569.06,Jharkhand,Online,59,97.61,158.99
Karnataka,24,Medium,Buttermilk,Raj,20.18,118.22,2385.6796,12,Refrigerated,84,15.64,1313.76,Jharkhand,Online,34,40.9,157.94
Uttar Pradesh,90,Large,Cheese,Amul,99.96,197.25,19717.11,29,Refrigerated,150,100.74,15111,Jharkhand,Wholesale,47,28.23,93.72
Gujarat,41,Small,Ice Cream,Palle2patnam,95.3,69.59,6631.927,28,Frozen,36,98.67,3552.12,Gujarat,Retail,33,62.77,87.86
Uttar Pradesh,38,Small,Butter,Amul,77.71,705.44,54819.7424,40,Refrigerated,279,80.91,22573.89,Tamil Nadu,Retail,426,10.55,66.62
Jharkhand,69,Large,Curd,Amul,65.23,336.47,21947.9381,6,Refrigerated,108,61.59,6651.72,West Bengal,Wholesale,228,63.42,100.69
Jharkhand,39,Large,Yogurt,Mother Dairy,80.74,616.07,49741.4918,27,Frozen,362,83.85,30353.7,Uttar Pradesh,Wholesale,254,61.49,132.2
West Bengal,54,Small,Ghee,Mother Dairy,43.79,343.94,15061.1326,135,Ambient,320,43.76,14003.2,Karnataka,Retail,23,44.92,24.81
Jharkhand,95,Medium,Milk,Sudha,49.06,999.78,49049.2068,2,Polythene Packet,499,48.14,24021.86,Rajasthan,Online,500,39.56,41.02
Rajasthan,98,Medium,Cheese,Amul,63.08,211.51,13342.0508,59,Refrigerated,206,64.22,13229.32,West Bengal,Online,5,81.94,85.62
Uttar Pradesh,78,Large,Yogurt,Palle2patnam,76.58,504.33,38621.5914,28,Refrigerated,490,81.37,39871.3,Delhi,Retail,14,73.82,49.34
Gujarat,17,Medium,Butter,Parag Milk Foods,13.66,535.1,7309.466,39,Frozen,18,8.83,158.94,Jharkhand,Retail,517,32.01,46.46
Uttar Pradesh,30,Large,Ghee,Sudha,16.37,729.21,11937.1677,85,Ambient,458,12.86,5889.88,Rajasthan,Wholesale,271,52.59,188.98
Maharashtra,62,Medium,Buttermilk,Sudha,86.32,149.16,12875.4912,13,Refrigerated,140,81.47,11405.8,Uttar Pradesh,Online,9,25.63,185.72
Gujarat,61,Small,Paneer,Raj,43.22,674.12,29135.4664,11,Refrigerated,230,42.79,9841.7,Gujarat,Retail,444,99.99,131.43
Tamil Nadu,55,Large,Cheese,Dynamix Dairies,28.93,627.29,18147.4997,30,Refrigerated,465,29.8,13857,West Bengal,Online,162,27.19,46.76
Madhya Pradesh,77,Small,Curd,Raj,45.95,865.53,39771.1035,7,Refrigerated,581,49.38,28689.78,Telangana,Wholesale,284,51.12,123.76
West Bengal,89,Large,Buttermilk,Raj,52.51,582.19,30570.7969,13,Refrigerated,556,53.75,29885,Madhya Pradesh,Retail,26,21.15,91.16
Karnataka,94,Large,Milk,Sudha,78.72,280.1,22049.472,29,Tetra Pack,163,75.83,12360.29,Rajasthan,Retail,117,39.3,119.41
Kerala,66,Medium,Lassi,Sudha,67.3,331.3,22296.49,12,Refrigerated,135,67.91,9167.85,Delhi,Retail,196,82.87,190.42
Delhi,29,Large,Milk,Sudha,29.49,229.17,6758.2233,28,Tetra Pack,159,34.04,5412.36,Kerala,Wholesale,70,28.29,22.58
West Bengal,88,Medium,Cheese,Dynamix Dairies,75.82,38.2,2896.324,44,Refrigerated,3,77.91,233.73,Rajasthan,Online,35,72.22,38.25
Gujarat,66,Medium,Curd,Amul,26.85,242.26,6504.681,7,Refrigerated,158,25.72,4063.76,Jharkhand,Retail,84,58.3,186.84
Madhya Pradesh,48,Medium,Cheese,Britannia Industries,25.44,898.01,22845.3744,82,Frozen,674,27.1,18265.4,Uttar Pradesh,Online,224,70.14,111.3
Chandigarh,73,Large,Lassi,Amul,99.03,648.13,64184.3139,16,Refrigerated,597,103.49,61783.53,Kerala,Retail,51,84.53,83.17
Tamil Nadu,29,Medium,Ghee,Mother Dairy,35.1,303.9,10666.89,147,Ambient,296,36.16,10703.36,Rajasthan,Wholesale,7,87.43,112.99
Uttar Pradesh,58,Medium,Butter,Parag Milk Foods,95.65,615.24,58847.706,28,Frozen,281,96.42,27094.02,Delhi,Retail,334,46.01,130.83
Gujarat,14,Large,Milk,Raj,27.19,105.47,2867.7293,1,Polythene Packet,50,27,1350,West Bengal,Wholesale,55,79.2,64.33
Chandigarh,46,Large,Yogurt,Amul,82.34,928.58,76459.2772,24,Refrigerated,552,78.38,43265.76,Gujarat,Retail,376,15.44,24.86
Karnataka,43,Large,Yogurt,Dodla Dairy,98.65,862.73,85108.3145,23,Refrigerated,7,99.66,697.62,Chandigarh,Online,855,14.71,51.89
Jharkhand,66,Large,Milk,Sudha,21.58,904.53,19519.7574,2,Polythene Packet,129,22.4,2889.6,Maharashtra,Online,775,97.75,180.13
Karnataka,37,Small,Paneer,Mother Dairy,61.34,969.09,59443.9806,7,Refrigerated,779,60.15,46856.85,Kerala,Wholesale,190,32.08,128.68
Rajasthan,72,Large,Cheese,Amul,27.78,215.99,6000.2022,74,Refrigerated,39,23.87,930.93,Madhya Pradesh,Wholesale,176,89.31,132.49
Delhi,82,Large,Buttermilk,Sudha,85.32,394.68,33674.0976,12,Refrigerated,104,81.24,8448.96,West Bengal,Online,290,68.67,94
Chandigarh,23,Large,Milk,Mother Dairy,48.91,86.33,4222.4003,28,Tetra Pack,84,45.16,3793.44,Rajasthan,Online,2,32.22,91.81
Chandigarh,28,Large,Cheese,Amul,64.9,448.41,29101.809,39,Refrigerated,36,63.9,2300.4,Maharashtra,Online,412,67.42,105.24
Tamil Nadu,52,Large,Buttermilk,Mother Dairy,80.71,959.1,77408.961,14,Refrigerated,263,81.78,21508.14,Rajasthan,Retail,696,17.87,52.32
Delhi,46,Large,Ice Cream,Amul,38.42,950.71,36526.2782,24,Frozen,459,36.69,16840.71,Gujarat,Retail,491,41.25,182.23
Madhya Pradesh,13,Small,Ice Cream,Dodla Dairy,76.05,661.7,50322.285,29,Frozen,275,73.34,20168.5,Chandigarh,Online,386,54.28,31
Chandigarh,58,Medium,Buttermilk,Sudha,46.2,682.38,31525.956,8,Refrigerated,313,41.5,12989.5,Uttar Pradesh,Wholesale,369,24.91,28.2
Kerala,58,Small,Milk,Sudha,73.51,662.83,48724.6333,23,Tetra Pack,131,75.47,9886.57,Uttar Pradesh,Online,531,61.61,147.88
Delhi,73,Medium,Buttermilk,Raj,67.85,41.39,2808.3115,13,Refrigerated,9,65.07,585.63,Gujarat,Online,32,44.27,67.3
Bihar,44,Small,Curd,Sudha,34.92,408.73,14272.8516,7,Refrigerated,187,34,6358,Chandigarh,Online,221,11.06,123.37
Chandigarh,90,Medium,Curd,Raj,58.83,576.03,33887.8449,5,Refrigerated,332,62.34,20696.88,West Bengal,Retail,244,65.34,164.95
Delhi,89,Small,Milk,Sudha,51.59,59.99,3094.8841,27,Tetra Pack,22,51.83,1140.26,Karnataka,Online,37,30.77,164.92
Maharashtra,92,Large,Butter,Parag Milk Foods,19.17,771.93,14797.8981,33,Frozen,554,15.52,8598.08,Chandigarh,Retail,217,30.82,172.32
West Bengal,59,Medium,Buttermilk,Sudha,20.43,833.58,17030.0394,10,Refrigerated,463,16.51,7644.13,Madhya Pradesh,Retail,370,51.4,117.04
Telangana,61,Medium,Curd,Mother Dairy,91.25,520.56,47501.1,7,Refrigerated,358,91.27,32674.66,Uttar Pradesh,Online,162,26.62,48.34
Delhi,55,Large,Cheese,Dynamix Dairies,85.18,252.87,21539.4666,81,Refrigerated,137,87.69,12013.53,Gujarat,Wholesale,115,31.94,47.74
Maharashtra,96,Small,Paneer,Amul,59.43,571.27,33950.5761,7,Refrigerated,217,64.24,13940.08,Rajasthan,Retail,354,59.8,124.23
Madhya Pradesh,73,Medium,Lassi,Amul,16.94,333.33,5646.6102,13,Refrigerated,127,12.67,1609.09,Madhya Pradesh,Wholesale,206,82.77,106.76
Madhya Pradesh,48,Large,Cheese,Amul,76.59,541.95,41507.9505,50,Frozen,467,79.62,37182.54,Tamil Nadu,Online,74,73.6,33.07
Gujarat,22,Large,Paneer,Sudha,49.82,374.12,18638.6584,8,Refrigerated,148,51.77,7661.96,Tamil Nadu,Wholesale,226,81.19,36.33
Telangana,70,Large,Cheese,Dynamix Dairies,19.12,956.86,18295.1632,55,Frozen,505,14.62,7383.1,Chandigarh,Online,451,17.15,55.21
Chandigarh,39,Large,Milk,Amul,93.68,571.63,53550.2984,1,Polythene Packet,480,98.2,47136,Karnataka,Online,91,12.33,116.74
Tamil Nadu,33,Medium,Milk,Sudha,14.61,234.32,3423.4152,21,Tetra Pack,190,16.3,3097,Telangana,Wholesale,44,33.15,99.45
Jharkhand,76,Small,Milk,Raj,94.83,62.47,5924.0301,1,Polythene Packet,48,90.06,4322.88,Delhi,Wholesale,14,60.09,140.31
Tamil Nadu,25,Medium,Ice Cream,Mother Dairy,89.82,249.49,22409.1918,25,Frozen,180,87.33,15719.4,Bihar,Retail,69,20.13,90.92
Bihar,46,Small,Butter,Warana,51.05,351.25,17931.3125,32,Frozen,350,51,17850,Maharashtra,Wholesale,1,56.15,124.41
Uttar Pradesh,89,Medium,Ice Cream,Palle2patnam,60.52,653.12,39526.8224,23,Frozen,148,61.4,9087.2,West Bengal,Online,505,85.4,100.04
Maharashtra,96,Medium,Ghee,Mother Dairy,81.46,306.96,25004.9616,92,Ambient,62,78.91,4892.42,Karnataka,Wholesale,244,92.23,158.58
Karnataka,84,Small,Butter,Parag Milk Foods,30.78,332.23,10226.0394,40,Frozen,328,27.15,8905.2,Telangana,Wholesale,4,72.73,175.3
Uttar Pradesh,15,Small,Milk,Amul,32.66,313.25,10230.745,1,Polythene Packet,73,32.72,2388.56,Rajasthan,Online,240,37.04,97.71
Tamil Nadu,95,Small,Curd,Amul,42.69,488.83,20868.1527,6,Refrigerated,167,41.02,6850.34,Delhi,Wholesale,321,97.56,36.85
Chandigarh,66,Large,Ghee,Sudha,86.93,93.31,8111.4383,68,Ambient,76,89.11,6772.36,West Bengal,Online,17,54.14,57.36
Madhya Pradesh,89,Large,Butter,Amul,53.26,901.18,47996.8468,34,Refrigerated,637,51.25,32646.25,Bihar,Wholesale,264,84.76,98.3
West Bengal,21,Small,Ghee,Mother Dairy,52.64,51.63,2717.8032,62,Ambient,37,53.69,1986.53,Rajasthan,Online,14,20.21,103.84
Uttar Pradesh,20,Medium,Cheese,Amul,31.29,254,7947.66,59,Frozen,222,34.02,7552.44,Delhi,Wholesale,32,67.02,103.94
Haryana,20,Medium,Butter,Amul,57.57,650.03,37422.2271,31,Frozen,74,52.88,3913.12,Karnataka,Online,576,71.8,107.14
Karnataka,56,Large,Yogurt,Dodla Dairy,69.14,365.86,25295.5604,25,Refrigerated,286,65.31,18678.66,Maharashtra,Online,79,40.27,33.03
Madhya Pradesh,52,Large,Milk,Mother Dairy,75.81,448.09,33969.7029,2,Polythene Packet,329,71.75,23605.75,Haryana,Wholesale,119,83.63,87.78
Gujarat,35,Medium,Ghee,Amul,60.81,346.96,21098.6376,86,Ambient,127,60.5,7683.5,Delhi,Retail,219,88.7,175.22
Kerala,28,Large,Curd,Mother Dairy,82.44,120.49,9933.1956,6,Refrigerated,25,81.53,2038.25,Uttar Pradesh,Wholesale,95,41.61,78.62
Tamil Nadu,32,Medium,Ghee,Raj,35.93,338,12144.34,63,Ambient,15,31.92,478.8,Kerala,Online,323,91.88,61.19
Bihar,13,Medium,Yogurt,Amul,36.85,727.93,26824.2205,23,Refrigerated,578,33.43,19322.54,Bihar,Retail,149,44,123.04
Rajasthan,28,Small,Yogurt,Amul,48.49,537.05,26041.5545,30,Frozen,69,51.52,3554.88,Delhi,Retail,468,24.87,156.18
Kerala,66,Medium,Buttermilk,Mother Dairy,42.04,171.89,7226.2556,8,Refrigerated,150,46.04,6906,Haryana,Wholesale,21,23.42,50.53
Delhi,82,Medium,Cheese,Amul,31.84,351.92,11205.1328,63,Refrigerated,27,28.5,769.5,West Bengal,Retail,324,45.13,146.71
Maharashtra,74,Medium,Milk,Sudha,37.3,833.04,31072.392,22,Tetra Pack,280,40.12,11233.6,Gujarat,Online,553,22.61,24.8
West Bengal,15,Small,Paneer,Raj,61.72,164.66,10162.8152,14,Refrigerated,14,57.35,802.9,Maharashtra,Retail,150,49.92,61.22
Tamil Nadu,70,Small,Buttermilk,Sudha,48.5,948.97,46025.045,14,Refrigerated,568,43.84,24901.12,Jharkhand,Wholesale,380,37.89,193.63
West Bengal,85,Large,Paneer,Sudha,91.07,272.32,24800.1824,7,Refrigerated,237,90.1,21353.7,Karnataka,Retail,35,12.45,117.28
Delhi,10,Large,Curd,Raj,82.16,312.86,25704.5776,5,Refrigerated,171,84.4,14432.4,Chandigarh,Retail,141,95.91,156.48
Chandigarh,80,Large,Lassi,Raj,19.1,273.95,5232.445,12,Refrigerated,91,17.16,1561.56,Bihar,Retail,182,60.21,49.25
Rajasthan,60,Small,Yogurt,Amul,31.5,520.57,16397.955,28,Frozen,476,32.86,15641.36,West Bengal,Wholesale,44,36.81,157.46
Delhi,50,Small,Yogurt,Dodla Dairy,43.67,601.41,26263.5747,26,Frozen,351,39.29,13790.79,Madhya Pradesh,Online,250,77.07,188.19
Telangana,86,Small,Paneer,Amul,24.64,304.92,7513.2288,11,Refrigerated,284,22.2,6304.8,Uttar Pradesh,Wholesale,20,55.72,57.17
Delhi,57,Medium,Butter,Mother Dairy,69,987.98,68170.62,36,Refrigerated,246,65.63,16144.98,Bihar,Online,741,98.97,64.19
Delhi,70,Large,Buttermilk,Amul,86.26,76.53,6601.4778,9,Refrigerated,35,88.21,3087.35,Jharkhand,Wholesale,41,63.78,88.81
West Bengal,64,Large,Milk,Sudha,76.65,513.42,39353.643,1,Polythene Packet,297,75.13,22313.61,Rajasthan,Retail,216,86.13,196.86
Uttar Pradesh,72,Large,Paneer,Raj,35.2,553.89,19496.928,13,Refrigerated,522,39.54,20639.88,Rajasthan,Retail,31,95.82,68.61
Delhi,83,Small,Buttermilk,Amul,57.51,801.45,46091.3895,12,Refrigerated,267,60.57,16172.19,Karnataka,Retail,534,89.01,81.61
Uttar Pradesh,30,Large,Cheese,Amul,45.7,616.33,28166.281,52,Refrigerated,402,42.62,17133.24,Jharkhand,Wholesale,214,32.57,66.86
Uttar Pradesh,71,Small,Ghee,Sudha,23.4,851.51,19925.334,135,Ambient,219,27.07,5928.33,West Bengal,Wholesale,632,40.78,110.08
Delhi,58,Large,Yogurt,Palle2patnam,34.4,299.28,10295.232,29,Frozen,277,31,8587,Chandigarh,Online,22,16.92,120.15
Karnataka,41,Large,Cheese,Britannia Industries,29.74,509.53,15153.4222,68,Frozen,195,31.99,6238.05,Chandigarh,Wholesale,314,96.59,113.47
Maharashtra,60,Medium,Cheese,Britannia Industries,31.43,473.8,14891.534,49,Refrigerated,280,31.23,8744.4,Haryana,Retail,193,56.66,189.64
Telangana,77,Small,Curd,Raj,93.26,833.57,77738.7382,6,Refrigerated,805,91.05,73295.25,Bihar,Retail,28,43.02,113.8
West Bengal,90,Large,Curd,Mother Dairy,80.62,809.5,65261.89,7,Refrigerated,153,84.1,12867.3,Delhi,Online,656,93.75,86.31
Telangana,78,Large,Ghee,Sudha,75.55,114.7,8665.585,122,Ambient,22,74.7,1643.4,Delhi,Wholesale,92,30.44,138.17
